Locale Key	Facility Name	Address	City	State	ZIP Code	Area	District	NASS Code	Facility Type								
W10349	CRESTON	300 S ELM ST	CRESTON	IA	508013600	Western (E)	Hawkeye	508	Plant	 							
X26451	CULPEPER	205 S MAIN ST	CULPEPER	VA	227019996	Capital Metro (K)	Northern Virginia	22701	Plant	 							
V23310	CUMBERLAND	215 PARK ST	CUMBERLAND	MD	215029949	Capital Metro (K)	Baltimore	215	Plant	 							
W1C074	DAKOTA CENTRAL	355 15TH ST NW	HURON	SD	573999998	Western (E)	Dakotas	57399	Plant	 							
W23426	DALLAS	401 DFW TPKE	DALLAS	TX	752609997	Southern (G)	Dallas	752	Plant	 							
W23427	DALLAS NDC	2400 DFW TPKE	DALLAS	TX	753989100	Southern (G)	Dallas	75Z	NDC	 							
X20775	DAYTON	1111 E 5TH ST	DAYTON	OH	454019997	Eastern (C)	Cincinnati	453	Plant	 							
Z17853	DENVER	7540 E 53RD PL	DENVER	CO	802660001	Western (E)	Colorado/Wyoming	800	Plant	 							
004252	DENVER MAIL PROCESSING ANNEX	20101 E 36TH DR	AURORA	CO	800118153	Western (E)	Colorado/Wyoming	800PF	Annex	 							
Z11305	DENVER NDC	7755 E 56TH AVE	DENVER	CO	802665400	Western (E)	Colorado/Wyoming	80Z	NDC	 							
W10400	DES MOINES	1165 2ND AVE	DES MOINES	IA	503189997	Western (E)	Hawkeye	500	Plant	 							
W10401	DES MOINES NDC	4000 109TH ST	DES MOINES	IA	503950001	Western (E)	Hawkeye	50Z	NDC	 							
Y11740	DETROIT	1401 W FORT ST RM 1022	DETROIT	MI	482339997	Great Lakes (J)	Detroit	481	Plant	 							
Y25139	DETROIT LAKES	250 STATE ST W	DETROIT LAKES	MN	565019997	Western (E)	Dakotas	565	Plant	 							
Y11741	DETROIT NDC	17500 OAKWOOD BLVD	ALLEN PARK	MI	481012775	Great Lakes (J)	Detroit	48Z	NDC	 							
W18854	DEVILS LAKE	502 3RD ST NE	DEVILS LAKE	ND	583019997	Western (E)	Dakotas	583	Plant	 							
006130	DMDU ANNEX	100 AVE CONQUISTADORES	CATANO	PR	009629996	Northeast (B)	Caribbean	00964	Annex	 							
W20438	DODGE CITY	700 CENTRAL AVE	DODGE CITY	KS	678019906	Western (E)	Central Plains	678	Plant	 							
V19356	DOMINICK V DANIELS	850 NEWARK TPKE	KEARNY	NJ	070999400	Northeast (B)	Northern New Jersey	07099	Plant	 							
Y10338	DOTHAN	379 N OATES ST	DOTHAN	AL	363024500	Southern (G)	Alabama	363	Plant	 							
X29745	DULLES	44715 PRENTICE DR	DULLES	VA	201019998	Capital Metro (K)	Northern Virginia	201	Plant	 							
Y25161	DULUTH	2800 W MICHIGAN ST	DULUTH	MN	558069998	Western (E)	Northland	556	Plant	 							
Z11329	DURANGO	222 W 8TH ST	DURANGO	CO	813019997	Western (E)	Colorado/Wyoming	813	Plant	 							
V27348	EASTERN MAINE	16 PENOBSCOT MEADOW DR	HAMPDEN	ME	044447099	Northeast (B)	Northern New England	044	Plant	 							
V27605	EASTERN SHORE	29060 AIRPARK DR	EASTON	MD	216019997	Capital Metro (K)	Baltimore	216	Plant	 							
Y17229	EAU CLAIRE	3510 HOGARTH ST	EAU CLAIRE	WI	547030487	Western (E)	Northland	547	Plant	 							
W23623	EL PASO	8401 BOEING DR	EL PASO	TX	799109997	Southern (G)	Rio Grande	798	Plant	 							
Z14400	ELKO	500 ASPEN WAY	ELKO	NV	898019997	Western (E)	Nevada Sierra	898	Plant	 							
W22043	ENID	115 W BROADWAY AVE FL 1	ENID	OK	737014000	Southern (G)	Oklahoma	737	Plant	 							
X18264	ERIE	2108 E 38TH ST	ERIE	PA	165159987	Eastern (C)	Western Pennsylvania	164	Plant	 							
Z14985	EUGENE	3148 GATEWAY ST	SPRINGFIELD	OR	974759990	Western (E)	Portland	974	Plant	 							
Z21071	EUREKA	337 W CLARK ST	EUREKA	CA	955019994	Pacific (F)	San Francisco	955	Plant	 							
X12161	EVANSVILLE	7100 PETERSBURG RD	EVANSVILLE	IN	477111737	Eastern (C)	Kentuckiana	476	Plant	 							
Z16762	EVERETT	8120 HARDESON RD	EVERETT	WA	982036289	Western (E)	Seattle	982	Plant	 							
Y10405	EVERGREEN	200 RURAL ST	EVERGREEN	AL	364019998	Southern (G)	Alabama	364	Plant	 							
Z10106	FAIRBANKS	5400 MAIL TRAIL RD	FAIRBANKS	AK	997091000	Western (E)	Alaska	997	Plant	 							
W18901	FARGO	657 2ND AVE N RM 104	FARGO	ND	581024768	Western (E)	Dakotas	580	Plant	 							
008331	FARGO LOG DIS	4007 33RD ST N STE A	FARGO	ND	581026237	Western (E)	Dakotas	581AX	Annex	 							
Z13723	FARMINGTON	2301 E 20TH ST	FARMINGTON	NM	874018903	Western (E)	Arizona	874	Plant	 							
X26599	FARMVILLE	301 E 3RD ST	FARMVILLE	VA	239019997	Capital Metro (K)	Richmond	239	Plant	 							
Y15308	FAYETTEVILLE	301 GREEN ST STE 200	FAYETTEVILLE	NC	283015099	Capital Metro (K)	Mid-Carolinas	283	Plant	 							
001910	FAYETTEVILLE P&DC ANNEX	2507 DOWNING RD	FAYETTEVILLE	NC	283128225	Capital Metro (K)	Mid-Carolinas	283AN	Annex	 							
Y11886	FLINT	250 E BOULEVARD DR	FLINT	MI	485029911	Great Lakes (J)	Detroit	484	Plant	 							
X23889	FLORENCE	1901 W EVANS ST	FLORENCE	SC	295019995	Capital Metro (K)	Greater So Carolina	295	Plant	 							
Y26757	FORT LAUDERDALE	1900 W OAKLAND PARK BLVD STE 100	FORT LAUDERDALE	FL	333109698	Southern (G)	South Florida	333	Plant	 							
Y21885	FORT MYERS	14080 JETPORT LOOP RM B-111	FORT MYERS	FL	339139997	Southern (G)	Suncoast	339	Plant	 							
Y20425	FORT SMITH	3318 S 74TH ST	FORT SMITH	AR	729039996	Southern (G)	Arkansas	729	Plant	 							
X12224	FORT WAYNE	1501 S CLINTON ST	FORT WAYNE	IN	468029997	Great Lakes (J)	Greater Indiana	467	Plant	 							
W26475	FORT WORTH	4600 MARK IV PKWY	FORT WORTH	TX	761619997	Southern (G)	Ft Worth	760	Plant	 							
W13018	FOX VALLEY	3900 GABRIELLE LN	FOX VALLEY	IL	605999701	Great Lakes (J)	Central Illinois	605	Plant	 							
Z21209	FRESNO	1900 E ST	FRESNO	CA	937068000	Pacific (F)	Sacramento	936	Plant	 							
Y21914	GAINESVILLE	4600 SW 34TH ST	GAINESVILLE	FL	326089997	Southern (G)	Gulf Atlantic	326	Plant	 							
Z13754	GALLUP	500 S SECOND ST	GALLUP	NM	873016248	Western (E)	Arizona	873	Plant	 							
X12284	GARY	1499 MARTIN LUTHER KING DR	GARY	IN	464019997	Great Lakes (J)	Greater Indiana	463	Plant	 							
X28531	GASSAWAY	400 ELK ST	GASSAWAY	WV	266249998	Eastern (C)	Appalachian	26624	Plant	 							
Y11932	GAYLORD	289 W COMMERCE BLVD	GAYLORD	MI	497357343	Great Lakes (J)	Greater Michigan	497	Plant	 							
W1B387	GILLETTE	311 S KENDRICK AVE	GILLETTE	WY	827169997	Western (E)	Colorado/Wyoming	827	Plant	 							
W18966	GRAND FORKS	2501 28TH AVE S	GRAND FORKS	ND	582019997	Western (E)	Dakotas	582	Plant	 							
W1C546	GRAND ISLAND	3835 W OLD POTASH HWY	GRAND ISLAND	NE	688039977	Western (E)	Central Plains	688	Plant	 							
Z11455	GRAND JUNCTION	602 BURKEY ST	GRAND JUNCTION	CO	815051016	Western (E)	Colorado/Wyoming	815	Plant	 							
Y11978	GRAND RAPIDS	225 MICHIGAN ST NW	GRAND RAPIDS	MI	495019900	Great Lakes (J)	Greater Michigan	493	Plant	 							
002101	GRAND RAPIDS ANNEX P1	3500 PATTERSON AVE SE STE A	GRAND RAPIDS	MI	495125699	Great Lakes (J)	Greater Michigan	495AX	Annex	 							
Z13197	GREAT FALLS	1409 14TH ST SW	GREAT FALLS	MT	594049991	Western (E)	Dakotas	594	Plant	 							
Y17374	GREEN BAY	300 PACKERLAND DR	GREEN BAY	WI	543039996	Great Lakes (J)	Lakeland	541	Plant	 							
Y15457	GREENSBORO	1120 PLEASANT RIDGE RD	GREENSBORO	NC	274989795	Capital Metro (K)	Greensboro	270	Plant	 							
Y15460	GREENSBORO NDC	3701 W WENDOVER AVE	GREENSBORO	NC	274950001	Capital Metro (K)	Greensboro	27Z	NDC	 							
004291	GREENVILLE	204 FAIRFOREST WAY	GREENVILLE	SC	296074609	Capital Metro (K)	Greater So Carolina	296	Plant	 							
Y13681	GREENVILLE	305 MAIN ST STE 154	GREENVILLE	MS	387019998	Southern (G)	Mississippi	387	Plant	 							
Y13691	GRENADA	2500 GATEWAY ST	GRENADA	MS	389019997	Southern (G)	Mississippi	389	Plant	 							
Y13699	GULFPORT	10285 CORPORATE DR	GULFPORT	MS	395039997	Southern (G)	Mississippi	395	Plant	 							
X18801	HARRISBURG	1425 CROOKED HILL RD	HARRISBURG	PA	171079970	Eastern (C)	Central Pennsylvania	170	Plant	 							
Y20531	HARRISON	215 W INDUSTRIAL PARK RD	HARRISON	AR	726019902	Southern (G)	Arkansas	726	Plant	 							
V20284	HARTFORD	141 WESTON ST	HARTFORD	CT	061019706	Northeast (B)	Connecticut Valley	060	Plant	 							
Y13720	HATTIESBURG	220 S 40TH AVE	HATTIESBURG	MS	394029997	Southern (G)	Mississippi	394	Plant	 							
Z13210	HAVRE	115 3RD ST	HAVRE	MT	595019996	Western (E)	Dakotas	595	Plant	 							
W20678	HAYS	706 FORT ST	HAYS	KS	676019997	Western (E)	Central Plains	676	Plant	 							
Z13215	HELENA	2300 N HARRIS ST	HELENA	MT	596019997	Western (E)	Dakotas	596	Plant	 							
Y15553	HICKORY	110 SOMERSET DR	HICKORY	NC	286019378	Capital Metro (K)	Greensboro	286	Plant	 							
X1C700	HOLT ANNEX	595 HOLT AVE	MACON	GA	312049996	Southern (G)	Gulf Atlantic	310AX	Annex	 							
Z12185	HONOLULU	3600 AOLELE ST RM 208E	HONOLULU	HI	968209500	Pacific (F)	Honolulu	967	Plant	 							
Y20591	HOT SPRINGS NATIONAL PARK	335 SECTION LINE RD	HOT SPRINGS NATIONAL PARK	AR	719139942	Southern (G)	Arkansas	71901	Plant	 							
W24129	HOUSTON	401 FRANKLIN ST	HOUSTON	TX	772019997	Southern (G)	Houston	770	Plant	 							
W20738	HUTCHINSON	128 E 1ST AVE	HUTCHINSON	KS	675019900	Western (E)	Central Plains	675	Plant	 							
X12557	INDIANAPOLIS	125 W SOUTH ST	INDIANAPOLIS	IN	462069997	Great Lakes (J)	Greater Indiana	460	Plant	 							
001209	INDIANAPOLIS MP ANNEX	7451 TEMPELHOF DR STE A	INDIANAPOLIS	IN	462419531	Great Lakes (J)	Greater Indiana	462KA	Annex	 							
Z24135	INDUSTRY	15421 E GALE AVE	CITY OF INDUSTRY	CA	917159998	Pacific (F)	Santa Ana	917	Plant	 							
003284	INTERNATIONAL ANNEX	13340 INTERNATIONAL PKWY	JACKSONVILLE	FL	322182383	Southern (G)	North Florida	322PX	Annex	 							
Y18410	IRON MOUNTAIN	700 W BREITUNG AVE	KINGSFORD	MI	498029996	Great Lakes (J)	Greater Michigan	498	Plant	 							
001567	IRVING PARK ROAD	11560 W IRVING PARK RD	CHICAGO	IL	607019998	Great Lakes (J)	Chicago	607	Plant	 							
X25352	JACKSON	200 DR MARTIN LUTHER KING JR DR	JACKSON	TN	383019997	Eastern (C)	Tennessee	383	Plant	 							
Y12136	JACKSON	1500 N ELM AVE	JACKSON	MI	492029956	Great Lakes (J)	Detroit	492	Plant	 							
Y13800	JACKSON	401 E SOUTH ST	JACKSON	MS	392019997	Southern (G)	Mississippi	390	Plant	 							
Y22124	JACKSONVILLE	1100 KINGS RD	JACKSONVILLE	FL	322039996	Southern (G)	Gulf Atlantic	320	Plant	 							
Y22125	JACKSONVILLE NDC	7415 COMMONWEALTH AVE	JACKSONVILLE	FL	320990002	Southern (G)	Gulf Atlantic	32Z	NDC	 							
W19028	JAMESTOWN	212 2ND ST SW	JAMESTOWN	ND	584019997	Western (E)	Dakotas	584	Plant	 							
004306	JET COVE ANNEX	3300 JET CV STE 10	MEMPHIS	TN	381183698	Eastern (C)	Tennessee	380PX	Annex	 							
X25366	JOHNSON CITY	530 E MAIN ST	JOHNSON CITY	TN	376015629	Eastern (C)	Tennessee	376	Plant	 							
